
# Surface 0 of 1 surfaces

# Curve title: ""MAC_boco_omega.csv""

# IsoCurve 0, 201 points
# x y z type
 29.7 -0.8  0.733142 i
 29.7 -0.7  0.718853 i
 29.7 -0.6  0.704513 i
 29.7 -0.5  0.690316 i
 29.7 -0.4  0.676468 i
 29.7 -0.3  0.663182 i
 29.7 -0.2  0.650674 i
 29.7 -0.1  0.63915 i
 29.7  0  0.62878 i
 29.7  0.1  0.619673 i
 29.7  0.2  0.611804 i
 29.7  0.3  0.604929 i
 29.7  0.4  0.598524 i
 29.7  0.5  0.591601 i
 29.7  0.6  0.582522 i
 29.7  0.7  0.569051 i
 29.7  0.8  0.54869 i
 29.7  0.9  0.519312 i
 29.7  1  0.48009 i
 29.7  1.1  0.432249 i
 29.7  1.2  0.379021 i
 29.7  1.3  0.324541 i
 29.7  1.4  0.27215 i
 29.7  1.5  0.223155 i
 29.7  1.6  0.176809 i
 29.7  1.7  0.131395 i
 29.7  1.8  0.0855374 i
 29.7  1.9  0.0388971 i
 29.7  2 -0.00791934 i
 29.7  2.1 -0.0537591 i
 29.7  2.2 -0.0972877 i
 29.7  2.3 -0.137262 i
 29.7  2.4 -0.172717 i
 29.7  2.5 -0.203079 i
 29.7  2.6 -0.228192 i
 29.7  2.7 -0.248273 i
 29.7  2.8 -0.263799 i
 29.7  2.9 -0.275369 i
 29.7  3 -0.283585 i
 29.7  3.1 -0.28896 i
 29.7  3.2 -0.291888 i
 29.7  3.3 -0.292642 i
 29.7  3.4 -0.291401 i
 29.7  3.5 -0.288285 i
 29.7  3.6 -0.28339 i
 29.7  3.7 -0.276811 i
 29.7  3.8 -0.268659 i
 29.7  3.9 -0.259068 i
 29.7  4 -0.2482 i
 29.7  4.1 -0.236237 i
 29.7  4.2 -0.223383 i
 29.7  4.3 -0.20985 i
 29.7  4.4 -0.195855 i
 29.7  4.5 -0.181612 i
 29.7  4.6 -0.167327 i
 29.7  4.7 -0.153194 i
 29.7  4.8 -0.139389 i
 29.7  4.9 -0.126066 i
 29.7  5 -0.113354 i
 29.7  5.1 -0.101355 i
 29.7  5.2 -0.0901444 i
 29.7  5.3 -0.0797732 i
 29.7  5.4 -0.0702666 i
 29.7  5.5 -0.0616287 i
 29.7  5.6 -0.0538447 i
 29.7  5.7 -0.0468847 i
 29.7  5.8 -0.0407064 i
 29.7  5.9 -0.0352592 i
 29.7  6 -0.0304862 i
 29.7  6.1 -0.0263275 i
 29.7  6.2 -0.022722 i
 29.7  6.3 -0.0196091 i
 29.7  6.4 -0.01693 i
 29.7  6.5 -0.0146289 i
 29.7  6.6 -0.0126535 i
 29.7  6.7 -0.0109558 i
 29.7  6.8 -0.00949297 i
 29.7  6.9 -0.00822836 i
 29.7  7 -0.00713331 i
 29.7  7.1 -0.00618933 i
 29.7  7.2 -0.00539121 i
 29.7  7.3 -0.00475066 i
 29.7  7.4 -0.00430029 i
 29.7  7.5 -0.00409729 i
 29.7  7.6 -0.00422578 i
 29.7  7.7 -0.0047969 i
 29.7  7.8 -0.00594515 i
 29.7  7.9 -0.0078202 i
 29.7  8 -0.0105733 i
